image_index,num_custom_regions,num_cv_regions,num_original_cv_regions,avg_iou,median_iou,min_iou,misses,perfect_matches,avg_iou_rev,median_iou_rev,min_iou_rev,misses_rev,perfect_matches_rev
70,60,67,241,0.8900819951450906,0.8984556312483412,0.7202072538860104,0,2,0.8369935545926183,0.8740097112190135,0.0,1,2
71,169,180,571,0.8919337612332675,0.9156908665105387,0.0,1,9,0.8790522778064203,0.9121323529411764,0.0,2,9
72,105,124,461,0.8849916659762209,0.9166666666666666,0.0,2,4,0.8392908970609374,0.892548630920724,0.0,5,4
73,30,41,179,0.8881128646727846,0.907712895377129,0.6526315789473685,0,1,0.8075955876901255,0.8573933372296902,0.0,2,1
74,113,113,486,0.8464716415616607,0.8825581395348837,0.0,6,2,0.830275569929043,0.8763157894736842,0.0,3,2
75,166,180,577,0.9009519849586414,0.9165543575920934,0.6387959866220736,0,9,0.8740755473079405,0.9030061892130858,0.0,2,8
76,52,50,554,0.8190165632529725,0.9074074074074074,0.0,4,0,0.8148938777246922,0.8993916500994036,0.2843601895734597,5,0
77,82,85,316,0.8954264668915817,0.9206149193548387,0.0,1,3,0.8699526912168096,0.9161157024793388,0.0,3,3
78,66,76,225,0.8639780589539252,0.9057994824824414,0.0,3,0,0.8110241672186426,0.8857808857808858,0.0,5,0
79,158,177,606,0.8856996451683014,0.9042057698992005,0.25,2,4,0.8579297734930984,0.8867924528301887,0.04652567975830816,3,4
80,105,114,511,0.8950574792661502,0.9292725173210161,0.0,1,5,0.8746017302362704,0.9147438593539704,0.2637506547930854,1,5
81,118,111,400,0.8918175952939754,0.9100826348017359,0.08201892744479496,1,4,0.871197076507126,0.9027777777777778,0.0,2,4
82,72,73,262,0.8947139634358839,0.9217218137254901,0.30434782608695654,2,1,0.8748087899668495,0.9158878504672897,0.4411764705882353,2,1
83,198,210,671,0.8895030285113206,0.9111062335381914,0.21541411042944786,3,5,0.8616244003995032,0.9000609768918606,0.0,5,5
84,19,20,82,0.9007003605278893,0.9547511312217195,0.6171428571428571,0,1,0.8439956293132311,0.9451083168683334,0.4008163265306122,2,1
85,176,185,651,0.8660043704362799,0.8908545507755341,0.2109375,3,7,0.8351565001609229,0.8690364826941066,0.0,5,7
86,106,106,496,0.8791198446580739,0.9072980229436173,0.0,2,9,0.851929113066985,0.9016132411481248,0.0,3,9
87,106,106,453,0.8560031124126012,0.8972868217054264,0.0,3,2,0.8496121750148807,0.8962038303693571,0.03788285867813004,4,2
88,50,57,183,0.8684928740594706,0.9200539803877177,0.0,1,0,0.8460685970098737,0.8854748603351955,0.0,2,0
89,157,155,603,0.8761422220161019,0.9022222222222223,0.0,4,11,0.8623186912768842,0.900990099009901,0.004210821812056987,5,11
90,186,196,696,0.88203686127218,0.9073160626979913,0.014779518656113714,2,10,0.8475256785546629,0.8933979715670453,0.0,6,9
91,129,133,544,0.8642231934328335,0.9047619047619048,0.003189792663476874,4,6,0.8609325870092441,0.8977583378895572,0.0,2,6
92,157,182,902,0.8823970721505465,0.9205776173285198,0.04440508571067114,1,6,0.8419385844915297,0.8870124113475177,0.0,6,6
93,142,145,528,0.874610869806109,0.9006536692348225,0.48833210513387376,2,2,0.8510820065160558,0.8901098901098901,0.006120367222033322,3,2
94,110,105,395,0.8727874707708065,0.9046824041000155,0.0,2,3,0.8590904411151844,0.9042553191489362,0.0042653017701002344,4,3
95,157,182,902,0.8823970721505465,0.9205776173285198,0.04440508571067114,1,6,0.8419385844915297,0.8870124113475177,0.0,6,6
96,67,80,383,0.8735218335204729,0.8873239436619719,0.6685393258426966,0,3,0.8053726422879712,0.8576667830946559,0.013284470911589555,6,3
97,62,73,408,0.8626057314576092,0.892121526992559,0.0,1,1,0.820296291048898,0.874749498997996,0.06578947368421052,2,1
98,105,114,562,0.8822968580150049,0.9318181818181818,0.2457627118644068,4,5,0.8562920431533574,0.9169737919737919,0.03590285110876452,6,5
99,81,80,311,0.8722950923342633,0.9180737961225766,0.00015019525382997898,3,1,0.8693814696419813,0.9178399228543876,0.0,2,1
